"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"16042",50,"management","married","secondary","no",-1,"no","no","cellular",22,"jul",139,1,-1,0,"unknown","no"
"25402",31,"management","single","tertiary","no",3142,"yes","no","cellular",18,"nov",235,1,123,1,"failure","no"
"11551",37,"admin.","divorced","secondary","no",796,"no","no","unknown",19,"jun",104,1,-1,0,"unknown","no"
"19007",41,"technician","married","tertiary","no",515,"no","no","cellular",5,"aug",837,2,-1,0,"unknown","yes"
"42976",60,"retired","married","secondary","no",1853,"no","no","cellular",10,"feb",234,1,183,1,"success","yes"
"42933",84,"retired","divorced","primary","no",2619,"no","no","telephone",8,"feb",145,2,115,2,"failure","no"
"5893",31,"services","married","secondary","no",-68,"yes","no","unknown",26,"may",293,4,-1,0,"unknown","no"
"2788",50,"admin.","married","secondary","no",736,"yes","no","unknown",14,"may",74,1,-1,0,"unknown","no"
"15311",46,"self-employed","single","secondary","no",69,"no","yes","cellular",18,"jul",103,2,-1,0,"unknown","no"
"26705",39,"self-employed","married","secondary","no",31,"yes","no","cellular",20,"nov",61,2,181,4,"failure","no"
"4495",37,"admin.","married","secondary","no",1283,"yes","no","unknown",20,"may",209,1,-1,0,"unknown","no"
"2396",53,"services","married","secondary","no",367,"yes","yes","unknown",13,"may",284,2,-1,0,"unknown","no"
"13686",29,"admin.","single","secondary","no",1,"no","no","telephone",9,"jul",372,1,-1,0,"unknown","no"
"30773",56,"technician","single","primary","no",145,"yes","no","telephone",6,"feb",124,2,9,2,"other","no"
"16056",50,"admin.","divorced","secondary","no",175,"no","no","cellular",22,"jul",112,3,-1,0,"unknown","no"
"40682",66,"retired","married","tertiary","no",3,"no","no","cellular",6,"aug",550,1,-1,0,"unknown","yes"
"35990",55,"blue-collar","married","secondary","no",1569,"yes","no","cellular",8,"may",156,4,-1,0,"unknown","no"
"29275",57,"management","married","secondary","no",123,"no","no","cellular",2,"feb",154,2,-1,0,"unknown","no"
"38819",32,"blue-collar","married","tertiary","no",143,"yes","yes","cellular",18,"may",90,1,-1,0,"unknown","no"
"17389",30,"self-employed","single","tertiary","no",253,"yes","no","cellular",28,"jul",283,4,-1,0,"unknown","no"
"12919",28,"services","single","secondary","no",198,"no","no","cellular",7,"jul",159,1,-1,0,"unknown","no"
"29919",46,"unemployed","single","tertiary","no",705,"no","no","cellular",4,"feb",398,1,-1,0,"unknown","no"
"6891",43,"management","married","secondary","no",373,"yes","no","unknown",28,"may",54,1,-1,0,"unknown","no"
"44547",44,"technician","divorced","secondary","no",314,"yes","no","unknown",12,"aug",18,1,651,1,"success","no"
"43680",33,"services","married","secondary","no",386,"no","no","cellular",12,"may",317,1,181,5,"success","yes"
"28201",59,"technician","divorced","secondary","no",-296,"no","yes","cellular",29,"jan",34,1,-1,0,"unknown","no"
"33653",29,"blue-collar","married","secondary","no",457,"yes","no","cellular",20,"apr",72,3,341,1,"other","no"
"26189",44,"blue-collar","married","primary","no",1766,"yes","no","cellular",20,"nov",100,1,-1,0,"unknown","no"
"41392",27,"admin.","married","secondary","no",1596,"no","no","cellular",1,"sep",82,1,-1,0,"unknown","yes"
"10809",55,"management","single","tertiary","no",854,"yes","yes","unknown",17,"jun",98,4,-1,0,"unknown","no"
"15440",36,"technician","married","secondary","no",1975,"no","no","cellular",18,"jul",835,1,-1,0,"unknown","no"
"11317",51,"admin.","single","secondary","no",1994,"no","no","unknown",18,"jun",771,2,-1,0,"unknown","yes"
"30306",26,"student","single","unknown","no",198,"no","no","cellular",5,"feb",161,1,-1,0,"unknown","no"
"39149",40,"blue-collar","married","primary","no",-35,"yes","no","cellular",18,"may",194,3,-1,0,"unknown","no"
"21595",32,"entrepreneur","married","tertiary","no",0,"no","no","cellular",19,"aug",167,2,-1,0,"unknown","no"
"39479",28,"management","single","tertiary","no",957,"no","no","cellular",25,"may",915,2,-1,0,"unknown","yes"
"42834",66,"retired","married","primary","no",3629,"no","no","cellular",2,"feb",474,1,172,2,"other","yes"
"24772",31,"admin.","single","secondary","no",19,"yes","no","cellular",18,"nov",1978,1,-1,0,"unknown","yes"
"13474",41,"services","divorced","tertiary","no",1583,"yes","no","cellular",9,"jul",662,1,-1,0,"unknown","yes"
"294",54,"management","married","tertiary","no",0,"no","no","unknown",5,"may",120,2,-1,0,"unknown","no"
"42197",57,"management","married","secondary","no",2155,"no","yes","cellular",10,"nov",144,3,91,2,"failure","yes"
"45168",48,"admin.","married","secondary","no",178,"no","no","cellular",10,"nov",228,1,-1,0,"unknown","no"
"43296",42,"admin.","married","secondary","no",16517,"no","no","cellular",15,"mar",549,5,203,4,"failure","no"
"43548",29,"management","single","tertiary","no",1445,"no","no","cellular",26,"apr",328,2,143,2,"success","yes"
"27025",31,"self-employed","married","tertiary","no",5,"yes","yes","cellular",21,"nov",635,1,135,2,"failure","yes"
"44452",45,"management","married","tertiary","no",2077,"no","no","cellular",5,"aug",163,1,-1,0,"unknown","no"
"37391",39,"blue-collar","single","primary","no",0,"yes","yes","cellular",13,"may",1975,5,-1,0,"unknown","yes"
"17188",45,"admin.","divorced","tertiary","no",1506,"no","no","cellular",28,"jul",365,4,-1,0,"unknown","yes"
"19537",50,"blue-collar","married","primary","no",4108,"yes","no","cellular",7,"aug",526,2,-1,0,"unknown","yes"
"9321",58,"technician","married","primary","yes",-247,"no","no","unknown",6,"jun",179,1,-1,0,"unknown","no"
"17201",44,"admin.","married","primary","no",-92,"no","yes","cellular",28,"jul",526,5,-1,0,"unknown","no"
"36785",51,"blue-collar","married","primary","no",1164,"yes","no","cellular",12,"may",100,1,369,2,"failure","no"
"6319",49,"technician","married","secondary","no",-353,"yes","yes","unknown",27,"may",123,2,-1,0,"unknown","no"
"3298",45,"entrepreneur","married","primary","no",1953,"yes","no","unknown",15,"may",95,3,-1,0,"unknown","no"
"11718",35,"self-employed","single","secondary","no",250,"no","no","unknown",20,"jun",170,1,-1,0,"unknown","no"
"35815",47,"blue-collar","divorced","primary","no",603,"yes","yes","cellular",8,"may",1080,1,-1,0,"unknown","yes"
"18612",37,"self-employed","single","tertiary","no",1286,"no","no","telephone",31,"jul",37,7,-1,0,"unknown","no"
"31403",39,"management","married","secondary","no",2981,"no","no","cellular",26,"mar",200,1,-1,0,"unknown","yes"
"25985",34,"management","married","tertiary","no",1006,"yes","no","cellular",19,"nov",783,3,195,2,"other","yes"
"39522",32,"technician","single","tertiary","no",654,"yes","no","cellular",25,"may",615,4,-1,0,"unknown","yes"
"34317",44,"self-employed","married","unknown","no",163,"yes","no","cellular",4,"may",364,3,-1,0,"unknown","yes"
"25569",43,"management","married","tertiary","no",13044,"no","no","cellular",19,"nov",215,1,93,4,"failure","no"
"40753",32,"management","single","tertiary","no",935,"no","no","cellular",10,"aug",161,2,375,5,"failure","yes"
"43673",42,"management","married","tertiary","no",27696,"no","no","cellular",12,"may",176,2,89,5,"success","yes"
"36936",34,"blue-collar","married","secondary","no",840,"yes","no","cellular",12,"may",275,3,-1,0,"unknown","no"
"7961",44,"services","married","secondary","no",26,"yes","no","unknown",2,"jun",119,9,-1,0,"unknown","no"
"38346",32,"entrepreneur","married","tertiary","no",721,"yes","no","cellular",15,"may",128,1,-1,0,"unknown","no"
"43653",51,"technician","married","tertiary","no",0,"no","no","cellular",7,"may",662,2,66,2,"success","yes"
"24104",58,"management","divorced","tertiary","no",372,"no","yes","unknown",29,"oct",11,1,-1,0,"unknown","yes"
"2121",43,"blue-collar","married","primary","no",1558,"yes","no","unknown",12,"may",110,3,-1,0,"unknown","no"
"17628",59,"retired","married","primary","no",0,"yes","no","cellular",29,"jul",45,7,-1,0,"unknown","no"
"33510",33,"blue-collar","married","secondary","no",-267,"yes","no","cellular",20,"apr",1030,3,-1,0,"unknown","yes"
"23873",48,"technician","married","tertiary","no",16,"no","no","cellular",29,"aug",77,2,-1,0,"unknown","no"
"39361",29,"unemployed","single","tertiary","no",497,"yes","no","cellular",18,"may",642,3,298,6,"success","yes"
"37605",32,"management","married","tertiary","no",62,"yes","no","cellular",14,"may",166,1,-1,0,"unknown","no"
"4339",24,"admin.","single","secondary","no",1019,"yes","no","unknown",19,"may",99,26,-1,0,"unknown","no"
"4051",44,"blue-collar","married","primary","no",-14,"yes","yes","unknown",19,"may",179,4,-1,0,"unknown","no"
"37374",31,"blue-collar","married","secondary","no",295,"yes","yes","cellular",13,"may",193,3,344,1,"other","no"
"3251",36,"blue-collar","single","secondary","no",-175,"yes","no","unknown",15,"may",180,2,-1,0,"unknown","no"
"27000",32,"unemployed","single","secondary","no",2706,"no","no","cellular",21,"nov",462,3,-1,0,"unknown","no"
"29338",43,"management","married","primary","no",73,"no","no","cellular",2,"feb",182,2,-1,0,"unknown","no"
"29276",37,"management","single","tertiary","no",230,"yes","yes","cellular",2,"feb",120,2,272,1,"failure","no"
"19019",53,"blue-collar","married","secondary","no",-8,"no","no","cellular",5,"aug",794,1,-1,0,"unknown","yes"
"10286",55,"blue-collar","married","secondary","no",0,"no","no","unknown",12,"jun",614,2,-1,0,"unknown","yes"
"40982",33,"management","married","tertiary","no",641,"yes","no","cellular",13,"aug",347,2,-1,0,"unknown","no"
"30090",34,"management","married","tertiary","yes",-30,"yes","no","cellular",4,"feb",449,2,-1,0,"unknown","no"
"6188",36,"admin.","single","unknown","no",-69,"yes","no","unknown",27,"may",90,2,-1,0,"unknown","no"
"14389",45,"technician","married","secondary","no",144,"yes","yes","cellular",14,"jul",154,4,-1,0,"unknown","no"
"41837",43,"services","married","primary","no",2557,"yes","no","telephone",15,"oct",166,3,183,5,"success","yes"
"20882",47,"housemaid","married","primary","no",183,"no","no","cellular",13,"aug",144,1,-1,0,"unknown","no"
"35521",57,"services","married","secondary","no",1577,"yes","no","telephone",7,"may",908,2,357,1,"other","no"
"34008",33,"management","married","tertiary","no",55,"no","no","cellular",30,"apr",526,2,87,3,"failure","yes"
"24550",48,"management","divorced","tertiary","no",1144,"yes","no","cellular",17,"nov",78,1,-1,0,"unknown","no"
"8230",34,"technician","married","primary","no",926,"yes","yes","unknown",2,"jun",142,2,-1,0,"unknown","no"
"226",48,"blue-collar","married","primary","no",278,"yes","no","unknown",5,"may",125,2,-1,0,"unknown","no"
"26617",41,"management","married","tertiary","no",60,"yes","no","cellular",20,"nov",239,2,-1,0,"unknown","no"
"43641",46,"blue-collar","married","secondary","no",640,"yes","no","cellular",6,"may",246,1,55,5,"success","yes"
"34139",59,"housemaid","married","primary","no",182,"no","no","cellular",30,"apr",92,1,86,1,"failure","no"
"43161",56,"technician","married","secondary","no",1938,"no","yes","cellular",26,"feb",229,1,192,4,"success","yes"
"26591",31,"admin.","married","secondary","no",9911,"no","no","cellular",20,"nov",604,1,-1,0,"unknown","no"
"4330",41,"technician","married","secondary","no",501,"yes","no","unknown",19,"may",579,5,-1,0,"unknown","yes"
"22635",45,"technician","single","secondary","no",11,"no","no","cellular",22,"aug",247,1,-1,0,"unknown","no"
"9651",37,"services","married","secondary","no",1372,"yes","no","unknown",6,"jun",129,2,-1,0,"unknown","no"
"3301",44,"blue-collar","married","unknown","no",146,"yes","no","unknown",15,"may",483,1,-1,0,"unknown","yes"
"33196",50,"unknown","married","primary","no",341,"yes","yes","cellular",20,"apr",670,4,340,2,"success","yes"
"29549",49,"admin.","married","secondary","no",1403,"no","no","cellular",3,"feb",124,2,180,2,"failure","no"
"36571",37,"technician","married","tertiary","no",1733,"yes","no","cellular",12,"may",524,3,326,1,"other","no"
